0.068	 0.996351 0.0853474         0	 1.49453 0.128021        0	 1.74361 0.149358        0

0.069	 0.996243 0.0865993         0	 1.49436 0.129899        0	 1.74343 0.151549        0

0.07	 0.996134 0.0878512         0	  1.4942 0.131777        0	1.74323 0.15374       0

0.071	 0.996022 0.0891029         0	 1.49403 0.133654        0	1.74304 0.15593       0

0.072	  0.99591 0.0903545         0	 1.49386 0.135532        0	1.74284 0.15812       0

0.073	 0.995795 0.0916059         0	 1.49369 0.137409        0	1.74264 0.16031       0

0.074	 0.995679 0.0928572         0	 1.49352 0.139286        0	1.74244 0.1625      0

0.075	 0.995562 0.0941083         0	 1.49334 0.141162        0	1.74223 0.16469       0

0.076	 0.995443 0.0953593         0	 1.49316 0.143039        0	 1.74203 0.166879        0

0.077	 0.995322 0.0966101         0	 1.49298 0.144915        0	 1.74181 0.169068        0

0.078	   0.9952 0.0978608         0	  1.4928 0.146791        0	  1.7416 0.171256        0

0.079	 0.995076 0.0991113         0	 1.49261 0.148667        0	 1.74138 0.173445        0

0.08	0.994951 0.100362        0	 1.49243 0.150543        0	 1.74116 0.175633        0

0.081	0.994824 0.101612        0	 1.49224 0.152418        0	 1.74094 0.177821        0

0.082	0.994696 0.102862        0	 1.49204 0.154293        0	 1.74072 0.180008        0

0.083	0.994566 0.104112        0	 1.49185 0.156168        0	 1.74049 0.182196        0

0.084	0.994434 0.105362        0	 1.49165 0.158042        0	 1.74026 0.184383        0

0.085	0.994301 0.106611        0	 1.49145 0.159917        0	1.74003 0.18657       0

0.086	0.994166 0.107861        0	 1.49125 0.161791        0	 1.73979 0.188756        0

0.087	0.99403 0.10911       0	 1.49104 0.163665        0	 1.73955 0.190942        0

0.088	0.993892 0.110359        0	 1.49084 0.165538        0	 1.73931 0.193128        0

0.089	0.993752 0.111608        0	 1.49063 0.167412        0	 1.73907 0.195313        0

0.09	0.993611 0.112856        0	 1.49042 0.169285        0	 1.73882 0.197499        0

0.091	0.993469 0.114105        0	  1.4902 0.171157        0	 1.73857 0.199684        0

0.092	0.993325 0.115353        0	1.48999 0.17303       0	 1.73832 0.201868        0

0.093	0.993179 0.116601        0	 1.48977 0.174902        0	 1.73806 0.204052        0

0.094	0.993031 0.117849        0	 1.48955 0.176774        0	 1.73781 0.206236        0

0.095	0.992883 0.119097        0	 1.48932 0.178646        0	1.73754 0.20842       0

0.096	0.992732 0.120345        0	  1.4891 0.180517        0	 1.73728 0.210603        0

0.097	 0.99258 0.121592        0	 1.48887 0.182388        0	 1.73702 0.212786        0

0.098	0.992427 0.122839        0	 1.48864 0.184259        0	 1.73675 0.214969        0

0.099	0.992271 0.124086        0	1.48841 0.18613       0	 1.73647 0.217151        0

0.1	0.992115 0.125333        0	1.48817 0.188     0	  1.7362 0.219333        0

0.101	0.991956 0.12658       0	1.48793 0.18987       0	 1.73592 0.221515        0

0.102	0.991797 0.127826        0	 1.48769 0.191739        0	 1.73564 0.223696        0

0.103	0.991635 0.129073        0	 1.48745 0.193609        0	 1.73536 0.225877        0

0.104	0.991472 0.130319        0	 1.48721 0.195478        0	 1.73508 0.228057        0

0.105	0.991308 0.131564        0	 1.48696 0.197347        0	 1.73479 0.230238        0

0.106	0.991142 0.13281       0	 1.48671 0.199215        0	  1.7345 0.232417        0

0.107	0.990974 0.134055        0	 1.48646 0.201083        0	  1.7342 0.234597        0

0.108	0.990805 0.135301        0	 1.48621 0.202951        0	 1.73391 0.236776        0

0.109	0.990634 0.136546        0	 1.48595 0.204818        0	 1.73361 0.238955        0

0.11	0.990461 0.13779       0	 1.48569 0.206685        0	 1.73331 0.241133        0

0.111	0.990287 0.139035        0	 1.48543 0.208552        0	   1.733 0.243311        0

0.112	0.990112 0.140279        0	 1.48517 0.210419        0	  1.7327 0.245489        0

0.113	0.989935 0.141523        0	  1.4849 0.212285        0	 1.73239 0.247666        0

0.114	0.989756 0.142767        0	 1.48463 0.214151        0	 1.73207 0.249842        0

0.115	0.989576 0.144011        0	 1.48436 0.216016        0	 1.73176 0.252019        0

0.116	0.989394 0.145254        0	 1.48409 0.217881        0	 1.73144 0.254195        0

0.117	0.989211 0.146497        0	 1.48382 0.219746        0	1.73112 0.25637       0

0.118	0.989026 0.14774       0	 1.48354 0.221611        0	  1.7308 0.258546        0

0.119	 0.98884 0.148983        0	 1.48326 0.223475        0	1.73047 0.26072       0

0.12	0.988652 0.150226        0	 1.48298 0.225338        0	 1.73014 0.262895        0

0.121	0.988462 0.151468        0	 1.48269 0.227202        0	 1.72981 0.265069        0

0.122	0.988271 0.15271       0	 1.48241 0.229065        0	 1.72947 0.267242        0

0.123	0.988078 0.153952        0	 1.48212 0.230927        0	 1.72914 0.269415        0

0.124	0.987884 0.155193        0	1.48183 0.23279       0	  1.7288 0.271588        0

0.125	0.987688 0.156434        0	 1.48153 0.234652        0	1.72845 0.27376       0

0.126	0.987491 0.157676        0	 1.48124 0.236513        0	 1.72811 0.275932        0

0.127	0.987292 0.158916        0	 1.48094 0.238374        0	 1.72776 0.278104        0

0.128	0.987092 0.160157        0	 1.48064 0.240235        0	 1.72741 0.280274        0

