0 1 0 0 1 2
0.000198    0.999999 0.000777543           0           1           2
0.000199   0.999999 0.00078147          0          1          2
0.0002    0.999999 0.000785397           0           1           2
0.000201    0.999999 0.000789324           0           1           2
0.000202    0.999999 0.000793251           0           1           2
0.000203    0.999999 0.000797178           0           1           2
0.000204    0.999999 0.000801105           0           1           2
0.000205    0.999999 0.000805032           0           1           2
0.000206    0.999999 0.000808959           0           1           2
0.000207    0.999999 0.000812886           0           1           2
0.000208    0.999999 0.000816813           0           1           2
0.000209   0.999999 0.00082074          0          1          2
0.00021    0.999999 0.000824667           0           1           2
0.000211    0.999999 0.000828594           0           1           2
0.000212    0.999999 0.000832521           0           1           2
0.000213    0.999999 0.000836448           0           1           2
0.000214    0.999999 0.000840375           0           1           2
0.000215    0.999999 0.000844302           0           1           2
0.000216    0.999999 0.000848229           0           1           2
0.000217    0.999999 0.000852156           0           1           2
0.000218    0.999999 0.000856083           0           1           2
0.000219   0.999999 0.00086001          0          1          2
0.00022    0.999999 0.000863937           0           1           2
0.000221    0.999998 0.000867864           0           1           2
0.000222    0.999998 0.000871791           0           1           2
0.000223    0.999998 0.000875718           0           1           2
0.000224    0.999998 0.000879645           0           1           2
0.000225    0.999998 0.000883572           0           1           2
0.000226    0.999998 0.000887499           0           1           2
0.000227    0.999998 0.000891426           0           1           2
0.000228    0.999998 0.000895353           0           1           2
0.000229   0.999998 0.00089928          0          1          2
0.00023    0.999998 0.000903207           0           1           2
0.000231    0.999998 0.000907134           0           1           2
0.000232    0.999998 0.000911061           0           1           2
0.000233    0.999998 0.000914988           0           1           2
0.000234    0.999998 0.000918914           0           1           2
0.000235    0.999998 0.000922841           0           1           2
0.000236    0.999998 0.000926768           0           1           2
0.000237    0.999998 0.000930695           0           1           2
0.000238    0.999998 0.000934622           0           1           2
0.000239    0.999998 0.000938549           0           1           2
0.00024    0.999998 0.000942476           0           1           2
0.000241    0.999998 0.000946403           0           1           2
0.000242   0.999998 0.00095033          0          1          2
0.000243    0.999998 0.000954257           0           1           2
0.000244    0.999998 0.000958184           0           1           2
0.000245    0.999998 0.000962111           0           1           2
0.000246    0.999998 0.000966038           0           1           2
0.000247    0.999998 0.000969965           0           1           2
0.000248    0.999998 0.000973892           0           1           2
0.000249    0.999998 0.000977819           0           1           2
0.00025    0.999998 0.000981746           0           1           2
0.000251    0.999998 0.000985673           0           1           2
0.000252  0.999998 0.0009896         0         1         2
0.000253    0.999998 0.000993527           0           1           2
0.000254    0.999998 0.000997454           0           1           2
0.000255   0.999998 0.00100138          0          1          2
0.000256   0.999998 0.00100531          0          1          2
0.000257   0.999998 0.00100923          0          1          2
0.000258   0.999998 0.00101316          0          1          2
0.000259   0.999998 0.00101709          0          1          2
